,Month,Mean Temperature
0,Jan 1990,31.3
1,Feb 1990,29.8
2,Mar 1990,39.7
3,Apr 1990,48.3
4,May 1990,56.2
5,Jun 1990,68.7
6,Jul 1990,71.4
7,Aug 1990,70.2
8,Sep 1990,64.6
9,Oct 1990,49.9
10,Nov 1990,42.3
11,Dec 1990,25.8
12,Jan 1991,19.1
13,Feb 1991,30.1
14,Mar 1991,39.1
15,Apr 1991,51.8
16,May 1991,64.5
17,Jun 1991,71.6
18,Jul 1991,73.0
19,Aug 1991,71.8
20,Sep 1991,62.0
21,Oct 1991,51.1
22,Nov 1991,32.8
23,Dec 1991,28.9
24,Jan 1992,26.9
25,Feb 1992,32.1
26,Mar 1992,37.5
27,Apr 1992,46.7
28,May 1992,58.9
29,Jun 1992,65.3
30,Jul 1992,68.8
31,Aug 1992,66.0
32,Sep 1992,61.0
33,Oct 1992,49.8
34,Nov 1992,36.4
35,Dec 1992,26.7
36,Jan 1993,22.7
37,Feb 1993,22.3
38,Mar 1993,33.3
39,Apr 1993,45.7
40,May 1993,58.9
41,Jun 1993,66.4
42,Jul 1993,72.7
43,Aug 1993,71.8
44,Sep 1993,58.2
45,Oct 1993,48.5
46,Nov 1993,35.5
47,Dec 1993,27.1
48,Jan 1994,13.5
49,Feb 1994,21.0
50,Mar 1994,37.2
51,Apr 1994,49.1
52,May 1994,58.2
53,Jun 1994,70.3
54,Jul 1994,70.9
55,Aug 1994,68.1
56,Sep 1994,63.1
57,Oct 1994,53.1
58,Nov 1994,42.1
59,Dec 1994,31.3
60,Jan 1995,22.9
61,Feb 1995,24.8
62,Mar 1995,38.5
63,Apr 1995,45.5
64,May 1995,57.3
65,Jun 1995,70.1
66,Jul 1995,73.1
67,Aug 1995,75.2
68,Sep 1995,60.5
69,Oct 1995,51.7
70,Nov 1995,31.7
71,Dec 1995,23.6
72,Jan 1996,18.2
73,Feb 1996,24.6
74,Mar 1996,29.9
75,Apr 1996,44.7
76,May 1996,57.6
77,Jun 1996,68.7
78,Jul 1996,69.8
79,Aug 1996,70.7
80,Sep 1996,61.7
81,Oct 1996,51.4
82,Nov 1996,31.3
83,Dec 1996,25.5
84,Jan 1997,18.3
85,Feb 1997,28.2
86,Mar 1997,36.8
87,Apr 1997,44.6
88,May 1997,53.8
89,Jun 1997,68.7
90,Jul 1997,72.1
91,Aug 1997,68.3
92,Sep 1997,63.3
93,Oct 1997,51.5
94,Nov 1997,34.7
95,Dec 1997,30.0
96,Jan 1998,27.5
97,Feb 1998,35.9
98,Mar 1998,36.3
99,Apr 1998,50.1
100,May 1998,64.4
101,Jun 1998,67.9
102,Jul 1998,72.7
103,Aug 1998,72.3
104,Sep 1998,67.5
105,Oct 1998,53.3
106,Nov 1998,41.5
107,Dec 1998,31.0
108,Jan 1999,21.1
109,Feb 1999,32.8
110,Mar 1999,35.6
111,Apr 1999,50.9
112,May 1999,60.9
113,Jun 1999,69.1
114,Jul 1999,75.7
115,Aug 1999,69.9
116,Sep 1999,62.2
117,Oct 1999,50.7
118,Nov 1999,44.8
119,Dec 1999,29.4
120,Jan 2000,22.7
121,Feb 2000,32.7
122,Mar 2000,42.9
123,Apr 2000,48.0
124,May 2000,61.7
125,Jun 2000,67.2
126,Jul 2000,71.0
127,Aug 2000,71.5
128,Sep 2000,62.6
129,Oct 2000,54.5
130,Nov 2000,36.1
131,Dec 2000,14.7
132,Jan 2001,23.7
133,Feb 2001,24.3
134,Mar 2001,32.9
135,Apr 2001,52.3
136,May 2001,61.1
137,Jun 2001,67.8
138,Jul 2001,73.3
139,Aug 2001,72.7
140,Sep 2001,61.5
141,Oct 2001,50.7
142,Nov 2001,46.7
143,Dec 2001,32.7
144,Jan 2002,29.3
145,Feb 2002,31.3
146,Mar 2002,32.4
147,Apr 2002,49.3
148,May 2002,55.6
149,Jun 2002,70.6
150,Jul 2002,75.5
151,Aug 2002,71.8
152,Sep 2002,66.1
153,Oct 2002,47.6
154,Nov 2002,36.2
155,Dec 2002,29.0
156,Jan 2003,19.4
157,Feb 2003,21.5
158,Mar 2003,36.3
159,Apr 2003,49.4
160,May 2003,58.2
161,Jun 2003,65.9
162,Jul 2003,72.2
163,Aug 2003,73.2
164,Sep 2003,61.8
165,Oct 2003,51.4
166,Nov 2003,39.4
167,Dec 2003,29.8
168,Jan 2004,19.0
169,Feb 2004,26.0
170,Mar 2004,40.2
171,Apr 2004,49.9
172,May 2004,60.3
173,Jun 2004,66.3
174,Jul 2004,70.2
175,Aug 2004,66.2
176,Sep 2004,65.6
177,Oct 2004,52.6
178,Nov 2004,41.9
179,Dec 2004,27.0
180,Jan 2005,22.8
181,Feb 2005,30.9
182,Mar 2005,34.3
183,Apr 2005,51.9
184,May 2005,57.0
185,Jun 2005,71.8
186,Jul 2005,74.0
187,Aug 2005,72.3
188,Sep 2005,67.1
189,Oct 2005,52.9
190,Nov 2005,40.6
191,Dec 2005,23.9
192,Jan 2006,33.9
193,Feb 2006,25.8
194,Mar 2006,37.5
195,Apr 2006,53.7
196,May 2006,59.7
197,Jun 2006,68.6
198,Jul 2006,75.0
199,Aug 2006,72.2
200,Sep 2006,60.5
201,Oct 2006,48.2
202,Nov 2006,40.7
203,Dec 2006,32.8
204,Jan 2007,26.0
205,Feb 2007,18.2
206,Mar 2007,42.2
207,Apr 2007,46.8
208,May 2007,63.4
209,Jun 2007,70.2
210,Jul 2007,72.0
211,Aug 2007,73.9
212,Sep 2007,65.5
213,Oct 2007,56.5
214,Nov 2007,38.5
215,Dec 2007,25.4
216,Jan 2008,22.1
217,Feb 2008,21.8
218,Mar 2008,33.6
219,Apr 2008,47.8
220,May 2008,56.3
221,Jun 2008,68.9
222,Jul 2008,72.1
223,Aug 2008,69.8
224,Sep 2008,64.1
225,Oct 2008,50.9
226,Nov 2008,37.8
227,Dec 2008,22.0
228,Jan 2009,15.9
229,Feb 2009,27.6
230,Mar 2009,37.7
231,Apr 2009,48.0
232,May 2009,59.1
233,Jun 2009,68.3
234,Jul 2009,67.7
235,Aug 2009,68.6
236,Sep 2009,64.2
237,Oct 2009,46.7
238,Nov 2009,44.0
239,Dec 2009,24.3
240,Jan 2010,19.4
241,Feb 2010,22.4
242,Mar 2010,40.6
243,Apr 2010,54.7
244,May 2010,61.1
245,Jun 2010,70.5
246,Jul 2010,74.6
247,Aug 2010,74.2
248,Sep 2010,62.8
249,Oct 2010,53.6
250,Nov 2010,39.6
251,Dec 2010,21.7
252,Jan 2011,18.3
253,Feb 2011,25.4
254,Mar 2011,35.6
255,Apr 2011,48.9
256,May 2011,58.8
257,Jun 2011,69.2
258,Jul 2011,76.9
259,Aug 2011,72.0
260,Sep 2011,61.4
261,Oct 2011,52.9
262,Nov 2011,41.9
263,Dec 2011,31.8
264,Jan 2012,28.2
265,Feb 2012,31.9
266,Mar 2012,50.6
267,Apr 2012,50.8
268,May 2012,64.2
269,Jun 2012,70.2
270,Jul 2012,78.2
271,Aug 2012,70.8
272,Sep 2012,62.0
273,Oct 2012,49.5
274,Nov 2012,38.4
275,Dec 2012,31.3
276,Jan 2013,24.7
277,Feb 2013,25.1
278,Mar 2013,30.5
279,Apr 2013,44.8
280,May 2013,59.7
281,Jun 2013,68.3
282,Jul 2013,71.6
283,Aug 2013,70.6
284,Sep 2013,65.2
285,Oct 2013,51.3
286,Nov 2013,35.7
287,Dec 2013,21.4
288,Jan 2014,15.1
289,Feb 2014,16.6
290,Mar 2014,29.5
291,Apr 2014,47.4
292,May 2014,59.9
293,Jun 2014,69.6
294,Jul 2014,68.7
295,Aug 2014,70.9
296,Sep 2014,62.4
297,Oct 2014,51.5
298,Nov 2014,31.4
299,Dec 2014,30.2
300,Jan 2015,22.1
301,Feb 2015,15.2
302,Mar 2015,36.0
303,Apr 2015,50.4
304,May 2015,60.9
305,Jun 2015,68.7
306,Jul 2015,72.1
307,Aug 2015,69.4
308,Sep 2015,67.6
309,Oct 2015,52.8
310,Nov 2015,43.7
311,Dec 2015,36.9
312,Jan 2016,22.9
313,Feb 2016,29.8
314,Mar 2016,43.0
315,Apr 2016,49.0
316,May 2016,59.3
317,Jun 2016,70.7
318,Jul 2016,73.4
319,Aug 2016,73.1
320,Sep 2016,67.0
321,Oct 2016,55.7
322,Nov 2016,45.3
323,Dec 2016,25.8
324,Jan 2017,27.5
325,Feb 2017,35.6
326,Mar 2017,37.9
327,Apr 2017,52.4
328,May 2017,58.4
329,Jun 2017,69.2
330,Jul 2017,73.1
331,Aug 2017,68.1
332,Sep 2017,65.6
333,Oct 2017,54.3
334,Nov 2017,37.8
335,Dec 2017,25.0
336,Jan 2018,20.7
337,Feb 2018,26.0
338,Mar 2018,35.3
339,Apr 2018,40.7
340,May 2018,66.5
341,Jun 2018,71.3
342,Jul 2018,73.2
343,Aug 2018,72.1
344,Sep 2018,66.2
345,Oct 2018,49.8
346,Nov 2018,32.3
347,Dec 2018,30.5
348,Jan 2019,20.9
349,Feb 2019,22.9
350,Mar 2019,32.6
351,Apr 2019,48.9
352,May 2019,58.1
353,Jun 2019,67.9
354,Jul 2019,74.3
355,Aug 2019,70.0
356,Sep 2019,67.6
357,Oct 2019,50.3
358,Nov 2019,33.6
359,Dec 2019,30.6
360,Jan 2020,27.6
361,Feb 2020,27.0
362,Mar 2020,40.6
363,Apr 2020,46.0
364,May 2020,57.5
365,Jun 2020,70.6
366,Jul 2020,75.2
367,Aug 2020,71.2
368,Sep 2020,62.2
369,Oct 2020,47.9
370,Nov 2020,43.1
371,Dec 2020,29.7
