LOCATION,INDICATOR,TIME,Value
USA,CPI,1990-01,5.202312
USA,CPI,1990-02,5.263158
USA,CPI,1990-03,5.233034
USA,CPI,1990-04,4.711617
USA,CPI,1990-05,4.361874
USA,CPI,1990-06,4.67365
USA,CPI,1990-07,4.823151
USA,CPI,1990-08,5.617978
USA,CPI,1990-09,6.16
USA,CPI,1990-10,6.289809
USA,CPI,1990-11,6.274821
USA,CPI,1990-12,6.106265
USA,CPI,1991-01,5.651491
USA,CPI,1991-02,5.3125
USA,CPI,1991-03,4.895105
USA,CPI,1991-04,4.88751
USA,CPI,1991-05,4.95356
USA,CPI,1991-06,4.69592
USA,CPI,1991-07,4.447853
USA,CPI,1991-08,3.799392
USA,CPI,1991-09,3.391108
USA,CPI,1991-10,2.921348
USA,CPI,1991-11,2.989537
USA,CPI,1991-12,3.064275
USA,CPI,1992-01,2.600297
USA,CPI,1992-02,2.818991
USA,CPI,1992-03,3.185185
USA,CPI,1992-04,3.180473
USA,CPI,1992-05,3.023599
USA,CPI,1992-06,3.088235
USA,CPI,1992-07,3.157122
USA,CPI,1992-08,3.147877
USA,CPI,1992-09,2.988338
USA,CPI,1992-10,3.202329
USA,CPI,1992-11,3.047895
USA,CPI,1992-12,2.900653
USA,CPI,1993-01,3.258508
USA,CPI,1993-02,3.246753
USA,CPI,1993-03,3.086863
USA,CPI,1993-04,3.225806
USA,CPI,1993-05,3.221188
USA,CPI,1993-06,2.99572
USA,CPI,1993-07,2.775801
USA,CPI,1993-08,2.76792
USA,CPI,1993-09,2.689313
USA,CPI,1993-10,2.750353
USA,CPI,1993-11,2.676056
USA,CPI,1993-12,2.748414
USA,CPI,1994-01,2.524544
USA,CPI,1994-02,2.515723
USA,CPI,1994-03,2.506964
USA,CPI,1994-04,2.361111
USA,CPI,1994-05,2.288488
USA,CPI,1994-06,2.493075
USA,CPI,1994-07,2.770083
USA,CPI,1994-08,2.900553
USA,CPI,1994-09,2.963474
USA,CPI,1994-10,2.608099
USA,CPI,1994-11,2.674897
USA,CPI,1994-12,2.674897
USA,CPI,1995-01,2.804378
USA,CPI,1995-02,2.862986
USA,CPI,1995-03,2.853261
USA,CPI,1995-04,3.052917
USA,CPI,1995-05,3.186441
USA,CPI,1995-06,3.04054
USA,CPI,1995-07,2.762803
USA,CPI,1995-08,2.61745
USA,CPI,1995-09,2.543507
USA,CPI,1995-10,2.809365
USA,CPI,1995-11,2.60521
USA,CPI,1995-12,2.53841
USA,CPI,1996-01,2.727878
USA,CPI,1996-02,2.650762
USA,CPI,1996-03,2.840158
USA,CPI,1996-04,2.896642
USA,CPI,1996-05,2.890933
USA,CPI,1996-06,2.754098
USA,CPI,1996-07,2.95082
USA,CPI,1996-08,2.877698
USA,CPI,1996-09,3.002611
USA,CPI,1996-10,2.992843
USA,CPI,1996-11,3.255208
USA,CPI,1996-12,3.322476
USA,CPI,1997-01,3.044041
USA,CPI,1997-02,3.034216
USA,CPI,1997-03,2.761721
USA,CPI,1997-04,2.495202
USA,CPI,1997-05,2.234994
USA,CPI,1997-06,2.297384
USA,CPI,1997-07,2.229299
USA,CPI,1997-08,2.225048
USA,CPI,1997-09,2.154626
USA,CPI,1997-10,2.084649
USA,CPI,1997-11,1.828499
USA,CPI,1997-12,1.702396
USA,CPI,1998-01,1.571339
USA,CPI,1998-02,1.441103
USA,CPI,1998-03,1.375
USA,CPI,1998-04,1.435705
USA,CPI,1998-05,1.686446
USA,CPI,1998-06,1.684342
USA,CPI,1998-07,1.682243
USA,CPI,1998-08,1.616915
USA,CPI,1998-09,1.488834
USA,CPI,1998-10,1.485149
USA,CPI,1998-11,1.547988
USA,CPI,1998-12,1.611903
USA,CPI,1999-01,1.670792
USA,CPI,1999-02,1.60593
USA,CPI,1999-03,1.726264
USA,CPI,1999-04,2.276923
USA,CPI,1999-05,2.088452
USA,CPI,1999-06,1.96319
USA,CPI,1999-07,2.144608
USA,CPI,1999-08,2.264382
USA,CPI,1999-09,2.628362
USA,CPI,1999-10,2.560976
USA,CPI,1999-11,2.621951
USA,CPI,1999-12,2.684564
USA,CPI,2000-01,2.738892
USA,CPI,2000-02,3.221884
USA,CPI,2000-03,3.757576
USA,CPI,2000-04,3.068592
USA,CPI,2000-05,3.188929
USA,CPI,2000-06,3.730445
USA,CPI,2000-07,3.659268
USA,CPI,2000-08,3.411131
USA,CPI,2000-09,3.454437
USA,CPI,2000-10,3.448276
USA,CPI,2000-11,3.446227
USA,CPI,2000-12,3.386809
USA,CPI,2001-01,3.732228
USA,CPI,2001-02,3.533569
USA,CPI,2001-03,2.920561
USA,CPI,2001-04,3.269119
USA,CPI,2001-05,3.61516
USA,CPI,2001-06,3.24826
USA,CPI,2001-07,2.719908
USA,CPI,2001-08,2.719908
USA,CPI,2001-09,2.648244
USA,CPI,2001-10,2.126437
USA,CPI,2001-11,1.895462
USA,CPI,2001-12,1.551724
USA,CPI,2002-01,1.142204
USA,CPI,2002-02,1.137656
USA,CPI,2002-03,1.475596
USA,CPI,2002-04,1.639344
USA,CPI,2002-05,1.181767
USA,CPI,2002-06,1.067416
USA,CPI,2002-07,1.464789
USA,CPI,2002-08,1.802817
USA,CPI,2002-09,1.514302
USA,CPI,2002-10,2.025886
USA,CPI,2002-11,2.198422
USA,CPI,2002-12,2.37691
USA,CPI,2003-01,2.597403
USA,CPI,2003-02,2.980877
USA,CPI,2003-03,3.020134
USA,CPI,2003-04,2.224694
USA,CPI,2003-05,2.057842
USA,CPI,2003-06,2.112285
USA,CPI,2003-07,2.109939
USA,CPI,2003-08,2.158273
USA,CPI,2003-09,2.320442
USA,CPI,2003-10,2.040816
USA,CPI,2003-11,1.76503
USA,CPI,2003-12,1.879491
USA,CPI,2004-01,1.926252
USA,CPI,2004-02,1.693064
USA,CPI,2004-03,1.737242
USA,CPI,2004-04,2.285093
USA,CPI,2004-05,3.051771
USA,CPI,2004-06,3.266195
USA,CPI,2004-07,2.990756
USA,CPI,2004-08,2.654388
USA,CPI,2004-09,2.537797
USA,CPI,2004-10,3.189189
USA,CPI,2004-11,3.523035
USA,CPI,2004-12,3.255562
USA,CPI,2005-01,2.969762
USA,CPI,2005-02,3.007519
USA,CPI,2005-03,3.148346
USA,CPI,2005-04,3.510638
USA,CPI,2005-05,2.80275
USA,CPI,2005-06,2.530311
USA,CPI,2005-07,3.167899
USA,CPI,2005-08,3.641161
USA,CPI,2005-09,4.686677
USA,CPI,2005-10,4.347826
USA,CPI,2005-11,3.455497
USA,CPI,2005-12,3.415659
USA,CPI,2006-01,3.985317
USA,CPI,2006-02,3.597497
USA,CPI,2006-03,3.362649
USA,CPI,2006-04,3.545735
USA,CPI,2006-05,4.166667
USA,CPI,2006-06,4.318766
USA,CPI,2006-07,4.145343
USA,CPI,2006-08,3.818737
USA,CPI,2006-09,2.062374
USA,CPI,2006-10,1.305221
USA,CPI,2006-11,1.973684
USA,CPI,2006-12,2.54065
USA,CPI,2007-01,2.075643
USA,CPI,2007-02,2.415199
USA,CPI,2007-03,2.778779
USA,CPI,2007-04,2.573697
USA,CPI,2007-05,2.690864
USA,CPI,2007-06,2.687038
USA,CPI,2007-07,2.358231
USA,CPI,2007-08,1.970083
USA,CPI,2007-09,2.755052
USA,CPI,2007-10,3.536175
USA,CPI,2007-11,4.306203
USA,CPI,2007-12,4.081269
USA,CPI,2008-01,4.280294
USA,CPI,2008-02,4.026556
USA,CPI,2008-03,3.981456
USA,CPI,2008-04,3.93689
USA,CPI,2008-05,4.175543
USA,CPI,2008-06,5.02179
USA,CPI,2008-07,5.600123
USA,CPI,2008-08,5.371855
USA,CPI,2008-09,4.936927
USA,CPI,2008-10,3.655186
USA,CPI,2008-11,1.069575
USA,CPI,2008-12,0.0914129
USA,CPI,2009-01,0.0298465
USA,CPI,2009-02,0.2361911
USA,CPI,2009-03,-0.3835562
USA,CPI,2009-04,-0.7368857
USA,CPI,2009-05,-1.281436
USA,CPI,2009-06,-1.426776
USA,CPI,2009-07,-2.097161
USA,CPI,2009-08,-1.484349
USA,CPI,2009-09,-1.286206
USA,CPI,2009-10,-0.1828483
USA,CPI,2009-11,1.838296
USA,CPI,2009-12,2.721331
USA,CPI,2010-01,2.625709
USA,CPI,2010-02,2.143332
USA,CPI,2010-03,2.313959
USA,CPI,2010-04,2.236447
USA,CPI,2010-05,2.020986
USA,CPI,2010-06,1.053349
USA,CPI,2010-07,1.235193
USA,CPI,2010-08,1.148105
USA,CPI,2010-09,1.143683
USA,CPI,2010-10,1.172188
USA,CPI,2010-11,1.143161
USA,CPI,2010-12,1.495723
USA,CPI,2011-01,1.631847
USA,CPI,2011-02,2.107585
USA,CPI,2011-03,2.681603
USA,CPI,2011-04,3.163631
USA,CPI,2011-05,3.568646
USA,CPI,2011-06,3.558828
USA,CPI,2011-07,3.628716
USA,CPI,2011-08,3.771208
USA,CPI,2011-09,3.868357
USA,CPI,2011-10,3.5252
USA,CPI,2011-11,3.394378
USA,CPI,2011-12,2.962419
USA,CPI,2012-01,2.925217
USA,CPI,2012-02,2.871099
USA,CPI,2012-03,2.651398
USA,CPI,2012-04,2.30274
USA,CPI,2012-05,1.704254
USA,CPI,2012-06,1.663994
USA,CPI,2012-07,1.408451
USA,CPI,2012-08,1.692379
USA,CPI,2012-09,1.991282
USA,CPI,2012-10,2.162344
USA,CPI,2012-11,1.764134
USA,CPI,2012-12,1.741022
USA,CPI,2013-01,1.594865
USA,CPI,2013-02,1.977924
USA,CPI,2013-03,1.473896
USA,CPI,2013-04,1.063085
USA,CPI,2013-05,1.361965
USA,CPI,2013-06,1.754417
USA,CPI,2013-07,1.960682
USA,CPI,2013-08,1.518368
USA,CPI,2013-09,1.184925
USA,CPI,2013-10,0.9636127
USA,CPI,2013-11,1.237072
USA,CPI,2013-12,1.501736
USA,CPI,2014-01,1.578947
USA,CPI,2014-02,1.126349
USA,CPI,2014-03,1.512203
USA,CPI,2014-04,1.952858
USA,CPI,2014-05,2.127111
USA,CPI,2014-06,2.072341
USA,CPI,2014-07,1.992329
USA,CPI,2014-08,1.699611
USA,CPI,2014-09,1.657919
USA,CPI,2014-10,1.66434
USA,CPI,2014-11,1.322355
USA,CPI,2014-12,0.7564933
USA,CPI,2015-01,-0.08934832
USA,CPI,2015-02,-0.0251298
USA,CPI,2015-03,-0.07363739
USA,CPI,2015-04,-0.1995174
USA,CPI,2015-05,-0.03993275
USA,CPI,2015-06,0.1237712
USA,CPI,2015-07,0.1695698
USA,CPI,2015-08,0.1950793
USA,CPI,2015-09,-0.03612975
USA,CPI,2015-10,0.1705744
USA,CPI,2015-11,0.5017976
USA,CPI,2015-12,0.7295198
USA,CPI,2016-01,1.373087
USA,CPI,2016-02,1.0178
USA,CPI,2016-03,0.8525362
USA,CPI,2016-04,1.12511
USA,CPI,2016-05,1.019323
USA,CPI,2016-06,0.9973265
USA,CPI,2016-07,0.8271388
USA,CPI,2016-08,1.062875
USA,CPI,2016-09,1.463784
USA,CPI,2016-10,1.635988
USA,CPI,2016-11,1.692537
USA,CPI,2016-12,2.074622
USA,CPI,2017-01,2.500042
USA,CPI,2017-02,2.737958
USA,CPI,2017-03,2.380612
USA,CPI,2017-04,2.19969
USA,CPI,2017-05,1.874878
USA,CPI,2017-06,1.633488
USA,CPI,2017-07,1.727978
USA,CPI,2017-08,1.938974
USA,CPI,2017-09,2.232964
USA,CPI,2017-10,2.041129
USA,CPI,2017-11,2.202583
USA,CPI,2017-12,2.109082
USA,CPI,2018-01,2.070508
USA,CPI,2018-02,2.211795
USA,CPI,2018-03,2.359711
USA,CPI,2018-04,2.462744
USA,CPI,2018-05,2.801012
USA,CPI,2018-06,2.871548
USA,CPI,2018-07,2.949515
USA,CPI,2018-08,2.69918
USA,CPI,2018-09,2.276972
USA,CPI,2018-10,2.52247
USA,CPI,2018-11,2.176601
USA,CPI,2018-12,1.910159
USA,CPI,2019-01,1.551235
USA,CPI,2019-02,1.520135
USA,CPI,2019-03,1.862523
USA,CPI,2019-04,1.99644
USA,CPI,2019-05,1.790228
USA,CPI,2019-06,1.648485
USA,CPI,2019-07,1.811465
USA,CPI,2019-08,1.74978
USA,CPI,2019-09,1.711305
USA,CPI,2019-10,1.764043
USA,CPI,2019-11,2.051278
USA,CPI,2019-12,2.28513
USA,CPI,2020-01,2.486572
USA,CPI,2020-02,2.334874
USA,CPI,2020-03,1.539327
USA,CPI,2020-04,0.3290967
USA,CPI,2020-05,0.1179264
USA,CPI,2020-06,0.6457331
USA,CPI,2020-07,0.9860818
USA,CPI,2020-08,1.309645
USA,CPI,2020-09,1.371325
USA,CPI,2020-10,1.182066
USA,CPI,2020-11,1.174536
USA,CPI,2020-12,1.362005
